"station","date","max"
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-05-30,90
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-05-31,92
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-06-01,96
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-06-02,94
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-06-03,94
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-06-04,92
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-06-05,94
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-06-06,93
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-06-07,92
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-06-08,93
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-06-09,94
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-06-10,95
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-06-11,89
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-06-12,94
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-06-13,93
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-06-14,93
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-06-15,93
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-06-16,92
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-06-17,89
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-06-18,92
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-06-19,92
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-06-20,93
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-06-21,95
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-06-22,90
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-06-23,84
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-06-24,91
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-06-25,90
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-06-26,93
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-06-27,88
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-06-28,89
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-06-29,89
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-06-30,92
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-07-01,92
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-07-02,94
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-07-03,95
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-07-04,92
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-07-05,90
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-07-06,90
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-07-07,94
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-07-08,94
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-07-09,91
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-07-10,92
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-07-11,95
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-07-12,95
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-07-13,97
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-07-14,90
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-07-15,80
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-07-16,85
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-07-17,87
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-07-18,89
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-07-19,94
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-07-20,91
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-07-21,92
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-07-22,94
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-07-23,92
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-07-24,92
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-07-25,90
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-07-26,94
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-07-27,94
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-07-28,90
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-07-29,93
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-07-30,96
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-07-31,96
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-08-01,91
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-08-02,96
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-08-03,97
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-08-04,85
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-08-05,96
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-08-06,93
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-08-07,93
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-08-08,94
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-08-09,91
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-08-10,95
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-08-11,94
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-08-12,95
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-08-13,95
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-08-14,94
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-08-15,88
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-08-16,90
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-08-17,92
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-08-18,94
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-08-19,96
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-08-20,93
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-08-21,94
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-08-22,98
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-08-23,92
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-08-24,93
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-08-25,95
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-08-26,99
